Game,Platforms,Year,Genre,Publisher
.hack: Sekai no Mukou ni + Versus,PS3,2012,Action,Namco Bandai Games
[Prototype],PS3,2009,Action,Activision
007: Quantum of Solace,PS3,2008,Action,Activision
2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts
2014 FIFA World Cup Brazil,PS3,2014,Sports,Electronic Arts
3D Dot Game Heroes,PS3,2009,Role-Playing,SouthPeak Games
3rd Super Robot Wars Z Jigoku Hen,PS3,2014,Role-Playing,Namco Bandai Games
428: Fuusa Sareta Shibuya de,PS3,2009,Adventure,Spike
50 Cent: Blood on the Sand,PS3,2009,Shooter,THQ
A.C.E.: Another Century's Episode R,PS3,2010,Simulation,Namco Bandai Games
AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,MTV Games
Accel World: Ginyoku no Kakusei,PS3,2012,Adventure,Namco Bandai Games
Accel World: Kasoku no Chouten,PS3,2013,Adventure,Namco Bandai Games
Ace Combat: Assault Horizon,PS3,2011,Action,Namco Bandai Games
Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,2013,Action,D3Publisher
Afrika,PS3,2008,Adventure,Unknown
Afro Samurai,PS3,2009,Action,Atari
After Hours Athletes,PS3,2011,Sports,Sony Computer Entertainment
Agarest Senki: Re-appearance,PS3,N/A,Role-Playing,Idea Factory
Air Conflicts: Secret Wars,PS3,2011,Simulation,bitComposer Games
Akatsuki no Goei Trinity,PS3,2012,Adventure,5pb
AKB1/149: Love Election,PS3,2013,Adventure,Namco Bandai Games
Akiba's Trip 2,"PS4, PS3",2014,Action,Acquire
Alice: Madness Returns,PS3,2011,Adventure,Electronic Arts
Alien: Isolation,"PS4, PS3",2014,Shooter,Sega
Aliens vs Predator,PS3,2010,Shooter,Sega
Aliens: Colonial Marines,PS3,2013,Shooter,Sega
All-Pro Football 2K8,PS3,2007,Sports,Take-Two Interactive
Alone in the Dark: Inferno,PS3,2008,Adventure,Atari
Alpha Protocol,PS3,2010,Role-Playing,Sega
Anarchy Reigns,PS3,2012,Action,Sega
Angry Birds Trilogy,PS3,2012,Action,Activision
Angry Birds: Star Wars,"PS4, PS3",2013,Strategy,Activision
Apache: Air Assault,PS3,2010,Simulation,Activision
Ape Escape,PS3,2010,Platform,Sony Computer Entertainment
Aquanaut's Holiday: Kakusareta Kiroku,PS3,2008,Adventure,Sony Computer Entertainment
AquaPazza: AquaPlus Dream Match,PS3,2012,Action,Aqua Plus
Ar no Surge,PS3,2014,Role-Playing,Tecmo Koei
Ar tonelico Qoga: Knell of Ar Ciel,PS3,2010,Role-Playing,Tecmo Koei
Arcana Heart 3,PS3,2011,Fighting,PQube
Armored Core 4,PS3,2006,Simulation,505 Games
Armored Core V,PS3,2012,Simulation,Namco Bandai Games
Armored Core: For Answer,PS3,2008,Simulation,Ubisoft
Armored Core: Verdict Day,PS3,2013,Action,From Software
Army of Two,PS3,2008,Shooter,Electronic Arts
Army of Two: The 40th Day,PS3,2010,Shooter,Electronic Arts
Army of Two: The Devil's Cartel,PS3,2013,Shooter,Electronic Arts
Ashes Cricket 2009,PS3,2009,Sports,Codemasters
Assassin's Creed,PS3,2007,Adventure,Ubisoft
Assassin's Creed II,PS3,2009,Action,Ubisoft
Assassin's Creed III,PS3,2012,Action,Ubisoft
Assassin's Creed IV: Black Flag,"PS4, PS3",2013,Action,Ubisoft
Assassin's Creed: Brotherhood,PS3,2010,Action,Ubisoft
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft
Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft
Asura's Wrath,PS3,2012,Action,Capcom
Atelier Ayesha: The Alchemist of the Land of Twilight,PS3,2012,Action,Tecmo Koei
Atelier Escha & Logy: Alchemist of Dusk Sky,PS3,2013,Role-Playing,Tecmo Koei
Atelier Meruru: Alchemist of Arland 3,PS3,2011,Role-Playing,Nippon Ichi Software
Atelier Rorona: Alchemist of Arland,PS3,2009,Role-Playing,Nippon Ichi Software
Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014,Simulation,Tecmo Koei
Atelier Totori: The Adventurer of Arland,PS3,2010,Role-Playing,Nippon Ichi Software
Attouteki Yuugi: Mugen Souls Z,PS3,2013,Role-Playing,Nippon Ichi Software
Back to the Future: The Game,PS3,2011,Adventure,Telltale Games
Backbreaker,PS3,N/A,Sports,Unknown
Baja: Edge of Control,PS3,2008,Racing,THQ
Bakugan Battle Brawlers: Defenders of the Core,PS3,2010,Action,Activision
Bakugan: Battle Brawlers,PS3,2009,Action,Activision
Band Hero,PS3,2009,Misc,Activision
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment
Batman: Arkham Origins,PS3,2013,Action,Warner Bros. Interactive Entertainment
Battle Princess of Arcadias,PS3,2013,Role-Playing,Nippon Ichi Software
Battle vs. Chess,PS3,N/A,Misc,TopWare Interactive
Battlefield 3,PS3,2011,Shooter,Electronic Arts
Battlefield 4,"PS4, PS3",2013,Shooter,Electronic Arts
Battlefield: Bad Company,PS3,2008,Shooter,Electronic Arts
Battlefield: Bad Company 2,PS3,2010,Shooter,Electronic Arts
Bayonetta,PS3,2009,Action,Sega
Beat Sketch!,PS3,2010,Misc,Sony Computer Entertainment
Beijing 2008,PS3,2008,Sports,Sega
Bejeweled 3,PS3,N/A,Puzzle,Unknown
Ben 10 Galactic Racing,PS3,2011,Racing,D3Publisher
Ben 10 Ultimate Alien: Cosmic Destruction,PS3,2010,Platform,D3Publisher
Beowulf: The Game,PS3,2007,Action,Ubisoft
Beyond: Two Souls,PS3,2013,Adventure,Sony Computer Entertainment
Binary Domain,PS3,2012,Action,Sega
Biohazard: Revival Selection,PS3,2011,Action,Capcom
Bionic Commando,PS3,2009,Platform,Capcom
BioShock,PS3,2008,Shooter,Take-Two Interactive
BioShock 2,PS3,2010,Shooter,Take-Two Interactive
BioShock Infinite,PS3,2013,Shooter,Take-Two Interactive
Birds of Steel,PS3,2012,Simulation,Konami Digital Entertainment
Blacksite: Area 51,PS3,2007,Shooter,Midway Games
Blades of Time,PS3,2012,Action,Konami Digital Entertainment
Bladestorm: The Hundred Years' War,PS3,2007,Action,Tecmo Koei
BlazBlue Chronophantasma,PS3,2013,Fighting,Arc System Works
BlazBlue: Calamity Trigger,PS3,2009,Fighting,PQube
BlazBlue: Continuum Shift,PS3,2010,Fighting,PQube
Blazblue: Continuum Shift Extend,PS3,2011,Fighting,PQube
Blazing Angels 2: Secret Missions of WWII,PS3,2007,Simulation,Ubisoft
Blazing Angels: Squadrons of WWII,PS3,2006,Simulation,Ubisoft
Bleach: Soul Resurreccion,PS3,2011,Fighting,Nippon Ichi Software
Blitz: The League II,PS3,2008,Sports,Midway Games
Blood Drive,PS3,2010,Racing,Activision
Blur,PS3,2010,Racing,Activision
Bodycount,PS3,2011,Shooter,Codemasters
Boku no Natsuyasumi 3: Hokkoku Hen: Chiisana Boku no Dai Sougen​,PS3,2007,Adventure,Sony Computer Entertainment
Bolt,PS3,2008,Adventure,Disney Interactive Studios
Book of Spells,PS3,2012,Action,Sony Computer Entertainment
Borderlands,PS3,2009,Shooter,Take-Two Interactive
Borderlands 2,PS3,2012,Shooter,Take-Two Interactive
Borderlands: The Pre-Sequel,PS3,2014,Shooter,Take-Two Interactive
Bound By Flame,PS4,2014,Action,Focus Home Interactive
Brink,PS3,2011,Shooter,Bethesda Softworks
Brothers in Arms: Furious 4,PS3,2012,Shooter,Ubisoft
Brothers in Arms: Hell's Highway,PS3,2008,Shooter,Ubisoft
Brunswick Pro Bowling,PS3,2010,Sports,505 Games
Brutal Legend,PS3,2009,Action,Electronic Arts
Bulletstorm,PS3,2011,Shooter,Electronic Arts
Burnout Paradise,PS3,2008,Racing,Electronic Arts
Burnout Paradise: The Ultimate Box,PS3,2009,Racing,Electronic Arts
Buzz! Brain of the UK,PS3,2009,Misc,Sony Computer Entertainment
Buzz! Quiz TV,PS3,2008,Misc,Sony Computer Entertainment
Buzz! Quiz World,PS3,2009,Misc,Sony Computer Entertainment
Buzz! The Ultimate Music Quiz,PS3,2010,Misc,Sony Computer Entertainment
Cabela's Adventure Camp,PS3,2011,Misc,Activision
Cabela's Big Game Hunter 2010,PS3,2009,Sports,Activision Value
Cabela's Big Game Hunter 2012,PS3,2011,Sports,Activision
Cabela's Big Game Hunter: Pro Hunts,PS3,2014,Shooter,Activision
Cabela's Dangerous Hunts 2009,PS3,2008,Sports,Activision Value
Cabela's Dangerous Hunts 2011,PS3,2010,Sports,Activision
Cabela's North American Adventures,PS3,2010,Sports,Activision
Cabela's Outdoor Adventures (2009),PS3,2009,Sports,Activision Value
Cabela's Survival: Shadows of Katmai,PS3,2011,Sports,Activision
Call of Duty 3,PS3,2006,Shooter,Activision
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision
Call of Duty: Advanced Warfare,"PS4, PS3",2014,Shooter,Activision
Call of Duty: Black Ops,PS3,2010,Shooter,Activision
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision
Call of Duty: Ghosts,"PS4, PS3",2013,Shooter,Activision
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision
Call of Duty: World at War,PS3,2008,Shooter,Activision
Call of Juarez: Bound in Blood,PS3,2009,Shooter,Ubisoft
Call of Juarez: The Cartel,PS3,2011,Shooter,Ubisoft
Captain America: Super Soldier,PS3,2011,Action,Sega
Captain Morgane and the Golden Turtle,PS3,2012,Adventure,Reef Entertainment
Carnival Island,PS3,2011,Misc,Sony Computer Entertainment
Cars 2,PS3,2011,Platform,Disney Interactive Studios
Cars: Mater-National Championship,PS3,2007,Racing,THQ
Cars: Race-O-Rama,PS3,2009,Racing,THQ
Cartoon Network: Punch Time Explosion XL,PS3,2011,Fighting,Crave Entertainment
Castlevania: Lords of Shadow,PS3,2010,Action,Konami Digital Entertainment
Castlevania: Lords of Shadow 2,PS3,2014,Action,Konami Digital Entertainment
Catherine,PS3,2011,Adventure,Deep Silver
Champion Jockey: G1 Jockey & Gallop Racer,PS3,2011,Sports,Tecmo Koei
Chaotic: Shadow Warriors,PS3,2009,Action,Activision
Child of Eden,PS3,2011,Shooter,Ubisoft
Child of Light,PS4,2014,Role-Playing,Ubisoft
Chou Jigen Game Neptune Mk-II,PS3,2011,Role-Playing,Compile Heart
Choujikuu Yousai Macross: Do You Remember Love,PS3,2012,Shooter,Namco Bandai Games
Clannad,PS3,2011,Adventure,Prototype
Clash of the Titans: The Videogame,PS3,2010,Action,Namco Bandai Games
Clive Barker's Jericho,PS3,2007,Shooter,Codemasters
Cloudy With a Chance of Meatballs,PS3,2009,Adventure,Ubisoft
College Hoops 2K7,PS3,2007,Sports,Take-Two Interactive
College Hoops 2K8,PS3,2007,Sports,Take-Two Interactive
Command & Conquer: Red Alert 3 Ultimate Edition,PS3,2009,Strategy,Electronic Arts
Conan,PS3,2007,Action,THQ
Condemned 2: Bloodshot,PS3,2008,Shooter,Sega
Conflict: Denied Ops,PS3,2008,Shooter,Eidos Interactive
Create,PS3,2010,Misc,Electronic Arts
Cross Edge,PS3,2008,Role-Playing,Nippon Ichi Software
Crysis 2,PS3,2011,Shooter,Electronic Arts
Crysis 3,PS3,2013,Shooter,Electronic Arts
CSI: Fatal Conspiracy,PS3,2010,Adventure,Ubisoft
CV Casting Voice,PS3,2014,Action,Namco Bandai Games
Dai-2-Ji Super Robot Taisen OG,PS3,2012,Strategy,Namco Bandai Games
Daito Giken Koushiki Pachi-Slot Simulator Hihouden: Taiyou o Motomeru Monotachi,PS3,2013,Misc,Paon Corporation
Damnation,PS3,2009,Shooter,Codemasters
Dance on Broadway,PS3,2011,Misc,Ubisoft
Dance! It's Your Stage,PS3,2011,Misc,DTP Entertainment
DanceDanceRevolution,PS3,2010,Simulation,Konami Digital Entertainment
DanceStar Party,PS3,2011,Misc,Sony Computer Entertainment
Dante's Inferno,PS3,2010,Action,Electronic Arts
Dark Sector,PS3,2008,Shooter,D3Publisher
Dark Souls,PS3,2011,Role-Playing,Namco Bandai Games
Dark Souls II,PS3,2014,Action,Namco Bandai Games
Dark Void,PS3,2010,Action,Capcom
Darksiders II,PS3,2012,Action,THQ
Darkstalkers Resurrection,PS3,2013,Fighting,Capcom
Date A Live: Arusu Install,PS3,2014,Adventure,Compile Heart
Date A Live: Rine Utopia,PS3,2013,Adventure,Compile Heart
DC Universe Online,PS3,2011,Role-Playing,Sony Online Entertainment
de Blob 2,PS3,2011,Platform,THQ
Dead Island,PS3,2011,Action,Deep Silver
Dead Island: Riptide,PS3,2013,Action,Deep Silver
Dead or Alive 5,PS3,2012,Fighting,Tecmo Koei
Dead Rising 2,PS3,2010,Action,Capcom
Dead Rising 2: Off the Record,PS3,2011,Action,Capcom
Dead Space,PS3,2008,Action,Electronic Arts
Dead Space 2,PS3,2011,Shooter,Electronic Arts
Dead Space 3,PS3,2013,Shooter,Electronic Arts
Dead to Rights: Retribution,PS3,2010,Shooter,Namco Bandai Games
Deadliest Catch: Sea of Chaos,PS3,2010,Sports,Crave Entertainment
Deadliest Warrior: Ancient Combat,PS3,2012,Fighting,Cloud Imperium Games Corporation
Deadly Premonition,PS3,2010,Action,Rising Star Games
Deadpool,PS3,2013,Action,Activision
Def Jam Icon,PS3,2007,Action,Electronic Arts
Def Jam Rapstar,PS3,2010,Misc,Konami Digital Entertainment
DEFIANCE,PS3,2013,Action,Trion Worlds
Demon's Souls,PS3,2009,Role-Playing,Namco Bandai Games
Dengeki Bunko Fighting Climax,PS3,2014,Fighting,Sega
Destiny,"PS4, PS3",2014,Action,Activision
Destroy All Humans! Path of the Furon,PS3,N/A,Action,THQ
Deus Ex: Human Revolution,PS3,2011,Shooter,Square Enix
Devil May Cry 4,PS3,2008,Action,Capcom
Devil May Cry HD Collection,PS3,2012,Action,Capcom
Diablo III,"PS4, PS3",2014,Role-Playing,Activision
Digimon All-Star Rumble,PS3,2014,Fighting,Namco Bandai Games
DiRT,PS3,2007,Racing,Codemasters
DiRT 2,PS3,2009,Racing,Codemasters
DiRT 3,PS3,2011,Racing,Codemasters
DiRT Showdown,PS3,2012,Action,Codemasters
Disgaea 3: Absence of Justice,PS3,2008,Role-Playing,Square Enix
Disgaea 4: A Promise Unforgotten,PS3,2011,Role-Playing,Nippon Ichi Software
Disgaea D2,PS3,2013,Action,Nippon Ichi Software
