Pos,Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
1,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.7,4.85,0.24,1.63,21.42
2,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,8.76,4.9,0.06,1.24,14.96
3,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,8.87,4.18,0.13,1.29,14.47
4,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.43,3.63,0.11,1.09,14.26
5,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.45,3.56,0.08,1.27,13.36
6,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,7.97,4.15,0.06,1.08,13.26
7,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.88,2.8,0.13,1.19,12.01
8,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.66,3.06,0.14,1.01,10.86
9,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,6.94,1.92,0.08,0.77,9.7
10,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.24,2.46,0.04,0.73,9.47
11,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.43,2.22,0.04,0.7,9.39
12,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.82,2.34,0.13,0.88,9.16
13,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,4.71,2.72,0.1,0.8,8.34
14,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.39,2.1,0.06,0.68,7.24
15,Call of Duty: World at War,X360,2008,Shooter,Activision,4.68,1.85,0,0.67,7.2
16,MineCraft,X360,2013,Adventure,Microsoft Game Studios,4.27,2.11,0.02,0.56,6.96
17,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.12,1.9,0.06,0.63,6.71
18,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.3,1.33,0.06,0.61,6.29
19,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.6,1.9,0.09,0.56,6.16
20,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,3.99,1.57,0.07,0.49,6.12
21,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.52,1.88,0.07,0.6,6.07
22,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.82,1.7,0.03,0.49,6.04
23,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.22,1.65,0.07,0.55,5.49
24,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.96,1.89,0.1,0.5,5.46
25,Assassin's Creed II,X360,2009,Action,Ubisoft,3.05,1.55,0.08,0.51,5.19
26,Assassin's Creed III,X360,2012,Action,Ubisoft,3.01,1.69,0.03,0.43,5.15
27,FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.05,3.47,0.03,0.58,5.13
28,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.54,1.07,0.05,0.37,5.04
29,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.87,1.25,0.04,0.39,4.56
30,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.08,0.96,0.09,0.4,4.53
31,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.16,0.91,0.01,0.41,4.49
32,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,1.98,1.93,0.06,0.45,4.42
33,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2.73,1.02,0.13,0.38,4.26
